EventNumber DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle1_E DecayParticle1_pt DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_px DecayParticle2_py DecayParticle2_pz DecayParticle2_E DecayParticle2_pt
17 b 0 4.18 -0.924 1.84 13.32 14.1115 2.05897 b 0 4.18 -1.276 2.76 60.68 60.8998 3.04069
18 W+ 1 80.4 5.675 12.546 -47.424 94.3547 13.7698 W- 1 80.4 17.025 57.154 -35.776 106.304 59.6358
19 b 0 4.18 -17.233 26.928 -30.555 44.4204 31.9702 b 0 4.18 -73.467 47.872 -37.345 95.4005 87.6877
20 b 0 4.18 -38.766 8.316 4.725 40.1467 39.6479 b 0 4.18 -53.534 16.884 14.175 58.0462 56.1334
21 W+ 1 80.4 -6.954 3.66 -14.136 82.0106 7.85835 W- 1 80.4 -5.246 26.84 -31.464 90.5652 27.3479
22 W+ 1 80.4 4.719 -6.624 10.863 81.5372 8.13304 W- 1 80.4 31.581 -34.776 4.437 93.2233 46.9758
23 b 0 4.18 28.952 -0.108 0 29.2524 28.9522 b 0 4.18 3.948 -0.792 84.3 84.4996 4.02666
24 b 0 4.18 -7.18 25.792 -43.12 50.9273 26.7727 b 0 4.18 -28.72 57.408 -44.88 78.436 64.1913
25 b 0 4.18 28.368 -0.884 -4.455 29.0318 28.3818 b 0 4.18 11.032 -4.316 -36.045 38.1713 11.8462
26 tau+ 0 1.77 19.124 -0.198 41.51 45.7382 19.125 tau- 0 1.77 49.176 -9.702 17.79 53.2168 50.1239
27 b 0 4.18 -30.59 -11.098 -19.78 38.3097 32.541 b 0 4.18 -35.91 -24.702 -66.22 79.3869 43.5857
28 b 0 4.18 48.26 1.278 -2.205 48.5077 48.2769 b 0 4.18 15.24 41.322 -8.295 45.0116 44.0428
29 b 0 4.18 70.55 -5.856 -7.974 71.3628 70.7926 b 0 4.18 14.45 -67.344 -80.626 106.123 68.8768
30 tau+ 0 1.77 20.28 9.184 6.538 23.2702 22.2626 tau- 0 1.77 10.92 23.616 86.862 90.6923 26.0185
31 W+ 1 80.4 -12.684 17.046 -7.668 83.5129 21.2474 W- 1 80.4 -32.616 77.654 -6.532 116.622 84.2256
32 W+ 1 80.4 35.394 -1.518 -21.774 90.5169 35.4265 W- 1 80.4 34.006 -12.282 -35.526 95.0448 36.156
33 b 0 4.18 12.546 41.37 38.991 58.3665 43.2305 b 0 4.18 61.254 57.13 56.109 100.904 83.7609
34 b 0 4.18 10.947 -25.532 27.951 39.6289 27.7798 b 0 4.18 15.753 -72.668 56.749 93.6307 74.3559
35 W+ 1 80.4 -18.33 -6.972 3.08 82.8145 19.6112 W- 1 80.4 -9.87 -92.628 7.92 123.306 93.1524
36 W+ 1 80.4 -0.195 -3.402 -75.075 110.055 3.40758 W- 1 80.4 -3.705 -15.498 -22.425 84.9762 15.9347
37 b 0 4.18 35.372 21.35 0.828 41.535 41.3159 b 0 4.18 60.228 13.65 40.572 74.0087 61.7554
38 b 0 4.18 7.344 49.454 -8.082 50.8176 49.9963 b 0 4.18 53.856 13.146 -81.718 98.8362 55.4372
39 b 0 4.18 31.552 -13.09 -13.528 36.9778 34.1596 b 0 4.18 17.748 -63.91 -57.672 87.9944 66.3286
40 b 0 4.18 4.758 1.683 -3.67 7.51082 5.04689 b 0 4.18 7.442 1.617 -33.03 34.1534 7.61564
41 b 0 4.18 -16.56 1.755 -66.74 68.9131 16.6527 b 0 4.18 -52.44 33.345 -27.26 67.9884 62.1437
42 Z 1 91.2 -2.24 62.325 0.33 110.485 62.3652 Z 1 91.2 -8.96 20.775 6.27 94.1734 22.6248
43 b 0 4.18 -27.307 -6.097 -16.8 32.9022 27.9794 b 0 4.18 -30.793 -40.803 -25.2 57.1455 51.1184
44 W+ 1 80.4 -16.848 0.939 7.578 82.5004 16.8741 W- 1 80.4 -3.952 92.961 34.522 127.724 93.045
45 W+ 1 80.4 -36.621 -4.674 5.124 88.6192 36.9181 W- 1 80.4 -57.279 -19.926 7.076 100.956 60.6459
46 b 0 4.18 -25.38 22.68 6.235 34.855 34.0371 b 0 4.18 -45.12 42.12 15.265 63.7213 61.7245
47 b 0 4.18 -45.504 0.669 -1.404 45.722 45.5089 b 0 4.18 -12.096 21.631 -6.396 25.9344 24.7833
48 b 0 4.18 -4.06 -35.853 -8.004 37.1949 36.0821 b 0 4.18 -16.24 -34.447 -19.596 43.0326 38.0832
49 b 0 4.18 -3.634 30.848 2.398 31.4329 31.0613 b 0 4.18 -4.266 65.552 8.502 66.3703 65.6907
50 b 0 4.18 -1.302 1.272 40.59 40.8452 1.82022 b 0 4.18 -20.398 9.328 8.91 24.4939 22.4297
51 b 0 4.18 6.921 -1 -14.362 16.5118 6.99287 b 0 4.18 69.979 -19 -2.338 72.6705 72.5125
52 b 0 4.18 -74.925 -9.295 -1.536 75.6306 75.4994 b 0 4.18 -17.575 -62.205 -24.064 69.1006 64.6401
53 b 0 4.18 11.4 7.548 -2.24 14.4714 13.6723 b 0 4.18 7.6 55.352 -5.76 56.3228 55.8713
54 W+ 1 80.4 2.436 -19.084 -17.955 84.5971 19.2388 W- 1 80.4 5.964 -17.616 -76.545 112.557 18.5982
55 b 0 4.18 20.09 -9.129 -1.157 22.4891 22.0669 b 0 4.18 8.61 -44.571 -7.743 46.2399 45.395
56 W+ 1 80.4 73.568 -3.06 -14.112 109.931 73.6316 W- 1 80.4 23.232 -47.94 -64.288 115.91 53.2726
57 b 0 4.18 -0.325 39.121 -8.008 40.1517 39.1223 b 0 4.18 -32.175 15.979 -20.592 41.618 35.9244
58 b 0 4.18 -35.148 -3.636 20.026 40.8303 35.3356 b 0 4.18 -25.452 -87.264 32.674 96.6844 90.9
59 W+ 1 80.4 67.373 3.094 2.08 104.963 67.444 W- 1 80.4 8.327 41.106 49.92 103.514 41.9409
60 b 0 4.18 6.787 4.4 48.399 49.2479 8.08847 b 0 4.18 54.913 23.1 17.901 62.3455 59.5739
61 b 0 4.18 -26.752 -9.953 5.675 29.4008 28.5435 b 0 4.18 -43.648 -16.947 17.025 49.9967 46.8225
62 b 0 4.18 24.696 -0.264 -5.135 25.5696 24.6974 b 0 4.18 4.704 -8.536 -34.365 35.9641 9.74633
63 b 0 4.18 39.864 2.695 -14.679 42.7709 39.955 b 0 4.18 50.736 5.005 -55.221 75.273 50.9823
64 b 0 4.18 -6.232 -1.47 -38.908 39.6523 6.40302 b 0 4.18 -26.568 -13.23 -15.892 33.9252 29.6798
65 b 0 4.18 -62.376 -0.338 -2.9 62.584 62.3769 b 0 4.18 -28.024 -0.962 -55.1 61.9657 28.0405
66 b 0 4.18 -41.328 -4.356 8.217 42.5672 41.5569 b 0 4.18 -9.072 -44.044 83.083 94.5644 44.9686
67 b 0 4.18 -19.536 0.081 0.558 19.9861 19.5362 b 0 4.18 -2.664 2.619 5.642 7.95365 3.73578
68 b 0 4.18 18.976 5.16 31.62 37.4701 19.665 b 0 4.18 40.324 59.34 21.08 74.8939 71.7444
69 W+ 1 80.4 -0.447 -20.71 29.036 87.9565 20.7148 W- 1 80.4 -44.253 -33.79 18.564 99.5433 55.6785
70 b 0 4.18 7.182 2.784 51.646 52.3843 7.70271 b 0 4.18 72.618 6.816 31.654 79.6196 72.9372
71 b 0 4.18 32.4 -7.544 -4.73 33.8603 33.2667 b 0 4.18 7.6 -86.756 -38.27 95.2178 87.0883
72 tau+ 0 1.77 38.352 -3.06 6.289 39.0247 38.4739 tau- 0 1.77 43.248 -5.94 26.811 51.2605 43.654
73 b 0 4.18 11.515 -34.245 1.36 36.3956 36.1291 b 0 4.18 21.385 -41.855 5.44 47.4997 47.0017
74 b 0 4.18 37.395 -2.191 -2.208 37.7562 37.4591 b 0 4.18 45.705 -29.109 -2.392 54.4011 54.1875
75 b 0 4.18 -55.055 -27.404 0.403 61.6414 61.4982 b 0 4.18 -29.645 -53.196 39.897 72.9238 60.8986
76 b 0 4.18 -80.64 -0.966 0.28 80.7545 80.6458 b 0 4.18 -15.36 -47.334 1.72 49.9687 49.7638
77 b 0 4.18 22.078 -0.649 -14.992 27.0202 22.0875 b 0 4.18 4.522 -64.251 -78.708 101.789 64.4099
78 W+ 1 80.4 -20.601 -1.78 17.759 84.8947 20.6778 W- 1 80.4 -77.499 -7.12 12.341 112.576 77.8254
79 b 0 4.18 11.256 52.305 -5.742 53.9718 53.5024 b 0 4.18 82.544 42.795 -11.658 93.7993 92.9781
80 b 0 4.18 2.204 53.48 10.842 54.7722 53.5254 b 0 4.18 52.896 22.92 30.858 65.521 57.6482
81 Z 1 91.2 54.162 -10.584 8.04 106.9 55.1864 Z 1 91.2 37.638 -39.816 32.16 111.147 54.7899
82 b 0 4.18 -41.218 -6.624 1.874 41.9974 41.7469 b 0 4.18 -14.482 -20.976 91.826 95.3898 25.4896
83 tau+ 0 1.77 30.36 -63.985 -0 70.8445 70.8224 tau- 0 1.77 61.64 -31.515 -21.7 72.5721 69.2292
84 W+ 1 80.4 6.12 2.343 27.9 85.3552 6.55317 W- 1 80.4 29.88 4.757 27.9 90.3217 30.2563
85 b 0 4.18 4.275 13.005 2.86 14.5965 13.6896 b 0 4.18 1.425 73.695 25.74 78.1857 73.7088
86 W+ 1 80.4 12.565 5.328 46.905 94.0771 13.648 W- 1 80.4 23.335 39.072 41.595 101.319 45.5098
87 b 0 4.18 -27.09 1.602 -0.228 27.4583 27.1373 b 0 4.18 -3.01 16.198 -22.572 28.256 16.4753
88 b 0 4.18 -11.76 -5.528 -1.256 13.7079 12.9945 b 0 4.18 -2.24 -63.572 -14.444 65.3645 63.6115
89 W+ 1 80.4 18.662 1.701 24.676 86.164 18.7394 W- 1 80.4 41.538 22.599 15.124 94.4935 47.2876
90 b 0 4.18 -20.988 -3.381 12.142 24.836 21.2586 b 0 4.18 -10.812 -12.719 81.258 83.0603 16.6935
91 b 0 4.18 32.487 0.752 -0.672 32.7703 32.4957 b 0 4.18 3.213 36.848 -8.928 38.279 36.9878
92 b 0 4.18 24.153 8.13 0.336 25.8273 25.4846 b 0 4.18 4.947 46.07 16.464 49.3503 46.3348
93 W+ 1 80.4 19.17 -2.718 -5.467 82.879 19.3617 W- 1 80.4 2.13 -87.882 -72.633 139.526 87.9078
94 b 0 4.18 -35.112 -33.495 2.76 48.7838 48.5259 b 0 4.18 -26.488 -62.205 31.74 74.8063 67.6097
95 W+ 1 80.4 -5.593 -57.912 16.422 100.593 58.1814 W- 1 80.4 -74.307 -18.288 80.178 136.926 76.5244
96 b 0 4.18 37.485 19.215 11.392 43.836 42.1229 b 0 4.18 22.015 72.285 59.808 96.4585 75.5631
97 W+ 1 80.4 -35.77 1.53 -18.08 89.8492 35.8027 W- 1 80.4 -15.33 13.77 -72.32 110.086 20.6064
98 b 0 4.18 52.164 0.536 0.292 52.3348 52.1668 b 0 4.18 4.536 12.864 7.008 15.8947 13.6403
99 b 0 4.18 -7.6 38.525 20.93 44.6931 39.2675 b 0 4.18 -68.4 18.975 70.07 99.8293 70.9832
100 W+ 1 80.4 6.37 0.91 0.704 80.6602 6.43467 W- 1 80.4 0.13 90.09 69.696 139.42 90.0901
101 W+ 1 80.4 0.66 0.992 -45.21 92.2471 1.1915 W- 1 80.4 0.84 98.208 -36.99 132.204 98.2116
102 b 0 4.18 27.072 2.74 0 27.5295 27.2103 b 0 4.18 1.128 65.76 54.6 85.582 65.7697
103 b 0 4.18 3.294 20.262 -5.187 21.5819 20.528 b 0 4.18 2.806 41.138 -34.713 54.0618 41.2336
104 tau+ 0 1.77 -20.672 29.79 27.322 45.4357 36.2598 tau- 0 1.77 -43.928 69.51 44.578 93.5502 82.2272
105 b 0 4.18 21.93 -0.18 6.91 23.3704 21.9307 b 0 4.18 51.17 -0.12 62.19 80.644 51.1701
106 b 0 4.18 -73.15 6.732 -3.402 73.6566 73.4591 b 0 4.18 -21.85 32.868 -53.298 66.4521 39.4681
107 b 0 4.18 -2.604 -5.34 0.314 7.271 5.94108 b 0 4.18 -0.196 -83.66 31.086 89.3468 83.6602
108 Z 1 91.2 -27.846 8.89 -0.575 95.7716 29.2307 Z 1 91.2 -38.454 16.51 -1.925 100.362 41.8484
109 b 0 4.18 26.1 -5.43 -9.452 28.5921 26.6589 b 0 4.18 17.4 -85.07 -18.348 88.847 86.8312
110 b 0 4.18 8.928 -25.11 -23.952 36.0748 26.65 b 0 4.18 19.872 -30.69 -75.848 84.304 36.5619
111 b 0 4.18 0.884 -7.728 51.48 52.2318 7.7784 b 0 4.18 5.916 -29.072 26.52 40.012 29.6678
112 b 0 4.18 7.336 -22.032 1.19 23.6244 23.2212 b 0 4.18 5.764 -59.568 5.81 60.2727 59.8462
113 b 0 4.18 -30.312 37.2 -1.848 48.2032 47.986 b 0 4.18 -53.888 37.2 -11.352 66.589 65.481
114 Z 1 91.2 -24.366 -7.611 1.456 94.7164 25.527 Z 1 91.2 -54.234 -10.089 4.144 106.666 55.1644
115 b 0 4.18 -69.286 0.618 -0.79 69.4192 69.2887 b 0 4.18 -1.414 61.182 -78.21 99.3957 61.1983
116 W+ 1 80.4 2.263 -12.766 5.936 81.6547 12.965 W- 1 80.4 0.837 -85.434 36.464 122.855 85.4381
117 W+ 1 80.4 40.863 3.195 6.574 90.4841 40.9877 W- 1 80.4 36.237 32.305 10.726 94.5301 48.5462
118 W+ 1 80.4 -9.216 -12.506 -10.14 82.5125 15.535 W- 1 80.4 -9.984 -21.294 -57.46 101.582 23.5184
119 W+ 1 80.4 -0.54 -7.462 -9.3 81.2811 7.48151 W- 1 80.4 -0.46 -21.238 -37.2 91.1003 21.243
120 W+ 1 80.4 78.144 -0.353 -0.495 112.121 78.1448 W- 1 80.4 3.256 -34.947 -16.005 89.1752 35.0984
121 b 0 4.18 7.267 -37.07 1.604 38.04 37.7756 b 0 4.18 9.633 -30.33 78.596 84.897 31.823
122 b 0 4.18 34.92 21.23 0.522 41.0836 40.8671 b 0 4.18 23.28 75.27 2.378 78.9345 78.7879
123 W+ 1 80.4 16.08 -32.688 -3.22 88.3267 36.429 W- 1 80.4 17.42 -35.412 -77.28 118.295 39.4647
124 tau+ 0 1.77 26.788 15.839 6.528 31.8468 31.1203 tau- 0 1.77 45.612 17.861 34.272 59.8095 48.9844
125 b 0 4.18 3.472 0.55 -41.961 42.3149 3.51529 b 0 4.18 8.928 54.45 -17.139 57.9287 55.1771
126 b 0 4.18 68.356 0.097 -1.862 68.5091 68.3561 b 0 4.18 5.944 9.603 -24.738 27.5134 11.2937
127 b 0 4.18 46.904 6.25 -3.664 47.6439 47.3186 b 0 4.18 10.296 56.25 -42.136 71.1546 57.1845
128 b 0 4.18 -70.065 -5.592 -3.588 70.5033 70.2878 b 0 4.18 -16.435 -87.608 -24.012 92.4084 89.1362
129 b 0 4.18 1.664 27.336 -0.478 27.7079 27.3866 b 0 4.18 0.936 53.064 -23.422 58.1612 53.0723
130 b 0 4.18 -41.004 22.099 -4.808 47.0136 46.58 b 0 4.18 -39.396 31.801 -55.292 75.0868 50.6295
131 b 0 4.18 16.425 33.11 15.52 40.3038 36.9602 b 0 4.18 20.075 61.49 62.08 89.752 64.684
132 b 0 4.18 26.98 6.656 5.772 28.6882 27.7889 b 0 4.18 11.02 34.944 38.628 53.4052 36.6405
133 W+ 1 80.4 -60.57 -3.458 -2.262 100.747 60.6686 W- 1 80.4 -6.73 -45.942 -73.138 118.192 46.4323
134 b 0 4.18 -1.05 -10.205 -43.945 45.3198 10.2589 b 0 4.18 -51.45 -68.295 -7.755 85.9588 85.5062
135 b 0 4.18 -4.504 0.99 -18.27 19.3011 4.61152 b 0 4.18 -51.796 18.81 -2.73 55.3314 55.1057
136 b 0 4.18 13.39 34.047 -2.17 36.8873 36.5854 b 0 4.18 38.11 53.253 -4.03 65.7417 65.4848
137 b 0 4.18 37.422 0.705 -8.082 38.5188 37.4286 b 0 4.18 8.778 69.795 -36.818 79.5074 70.3448
138 b 0 4.18 1.008 -3.069 61.541 61.7673 3.2303 b 0 4.18 7.392 -31.031 16.359 36.0923 31.8993
139 b 0 4.18 -78.289 -8.316 1.605 78.8567 78.7294 b 0 4.18 -20.811 -37.884 51.895 67.6673 43.2238
140 b 0 4.18 41.552 5.073 18.375 45.9066 41.8605 b 0 4.18 32.648 21.627 55.125 67.7485 39.1614
141 b 0 4.18 35.175 10.681 -11.726 38.8115 36.7609 b 0 4.18 17.325 86.419 -41.574 97.5411 88.1385
142 b 0 4.18 84.55 2.574 -0.75 84.6957 84.5892 b 0 4.18 10.45 40.326 -14.25 44.2258 41.658
143 b 0 4.18 43.344 16.212 19.343 50.3305 46.2767 b 0 4.18 34.056 60.988 64.757 95.343 69.8523
144 b 0 4.18 2.938 69.36 -1.116 69.5569 69.4222 b 0 4.18 19.662 12.24 -54.684 59.5334 23.1606
145 b 0 4.18 27.508 0.424 -1.844 27.888 27.5113 b 0 4.18 2.392 10.176 -44.256 45.6655 10.4534
146 b 0 4.18 82.32 2.58 3.498 82.5406 82.3604 b 0 4.18 15.68 49.02 28.302 58.8838 51.4667
147 b 0 4.18 82.128 -0.734 0.715 82.2407 82.1313 b 0 4.18 12.272 -35.966 5.785 38.6664 38.002
148 W+ 1 80.4 70.272 15.938 1.756 107.979 72.0567 W- 1 80.4 27.328 45.362 86.044 129.121 52.9578
149 b 0 4.18 -55.56 2.522 7.014 56.2134 55.6172 b 0 4.18 -37.04 7.178 43.086 57.4227 37.7291
150 W+ 1 80.4 -42.091 6.12 37.869 98.5258 42.5336 W- 1 80.4 -43.809 44.88 59.231 117.923 62.7172
151 b 0 4.18 -79.704 6.391 5.81 80.2795 79.9598 b 0 4.18 -17.496 51.709 77.19 94.6346 54.5887
152 b 0 4.18 8.35 -12.597 17.964 23.845 15.1131 b 0 4.18 25.05 -19.703 31.936 45.3111 31.8702
153 W+ 1 80.4 -19.481 -11.872 19.089 85.7263 22.8135 W- 1 80.4 -65.219 -72.928 11.211 127.129 97.8366
154 b 0 4.18 47.972 -18.09 -1.131 51.452 51.2695 b 0 4.18 23.628 -42.21 -36.569 60.7843 48.3732
155 b 0 4.18 -52.638 0.759 -3.93 52.9552 52.6435 b 0 4.18 -3.962 75.141 -61.57 97.315 75.2454
156 b 0 4.18 -6.44 2.58 32.674 33.6629 6.93758 b 0 4.18 -21.56 14.62 20.026 33.1224 26.0495
157 tau+ 0 1.77 24.186 -10.632 -1.134 26.5032 26.4197 tau- 0 1.77 17.514 -33.668 -5.166 38.3418 37.9509
158 tau+ 0 1.77 -16.942 4.18 5.054 18.2532 17.45 tau- 0 1.77 -22.458 6.82 21.546 31.9098 23.4707
159 W+ 1 80.4 35.235 3.15 3.94 87.9267 35.3755 W- 1 80.4 8.265 17.85 94.56 125.669 19.6706
160 b 0 4.18 -2.65 18.678 15.246 24.6131 18.8651 b 0 4.18 -7.95 37.922 21.054 44.2947 38.7464
161 b 0 4.18 26.313 0.315 -42.592 50.2397 26.3149 b 0 4.18 27.387 4.185 -54.208 61.0208 27.7049
162 b 0 4.18 -83.592 2.151 8.921 84.198 83.6197 b 0 4.18 -13.608 69.549 72.179 101.24 70.8678
163 b 0 4.18 -49.734 26.048 -1.538 56.3188 56.1424 b 0 4.18 -42.366 33.152 -75.362 92.6868 53.7953
164 b 0 4.18 15.158 30.127 -0 33.9834 33.7254 b 0 4.18 13.442 33.973 -6.5 37.344 36.5356
165 b 0 4.18 20.43 2.086 0.846 20.9744 20.5362 b 0 4.18 2.27 27.714 27.354 39.2292 27.8068
166 b 0 4.18 76.896 -0.884 0 77.0146 76.9011 b 0 4.18 3.204 -21.216 0.3 21.862 21.4566
167 tau+ 0 1.77 3.784 -16.96 -5.644 18.3561 17.377 tau- 0 1.77 5.016 -25.44 -27.556 37.879 25.9298
168 b 0 4.18 -45.216 23.352 2.392 51.1175 50.8901 b 0 4.18 -17.584 73.948 57.408 95.3449 76.0099
169 tau+ 0 1.77 -22.176 5.253 39.8 45.8971 22.7897 tau- 0 1.77 -45.024 25.647 39.8 65.3613 51.8163
170 b 0 4.18 1.986 -10.269 10.658 15.5068 10.4593 b 0 4.18 31.114 -38.631 3.942 49.9344 49.6028
171 b 0 4.18 -39.897 3.642 0.519 40.2837 40.0629 b 0 4.18 -3.003 57.058 51.381 76.9553 57.137
172 tau+ 0 1.77 19.55 0.464 -4.654 20.1795 19.5555 tau- 0 1.77 3.45 22.736 -31.146 38.7561 22.9963
173 W+ 1 80.4 -8.916 -4.32 -28.42 85.8488 9.90744 W- 1 80.4 -65.384 -10.08 -20.58 106.134 66.1564
174 b 0 4.18 -54.45 -13.743 15.156 58.3168 56.1576 b 0 4.18 -44.55 -37.157 69.044 90.2767 58.0116
175 b 0 4.18 -2.979 26.22 23.606 35.6522 26.3887 b 0 4.18 -96.321 17.48 40.194 105.907 97.8943
176 b 0 4.18 -4.524 17.604 16.08 24.6253 18.176 b 0 4.18 -70.876 14.996 24.12 76.4692 72.4451
177 b 0 4.18 72.297 -0.66 -1.989 72.4481 72.3 b 0 4.18 10.803 -15.84 -20.111 28.0987 19.1732
178 tau+ 0 1.77 18.462 7.546 -14.283 24.5952 19.9446 tau- 0 1.77 17.738 26.754 -38.617 50.2476 32.1
179 b 0 4.18 -17.739 2.739 3 18.6721 17.9492 b 0 4.18 -6.561 88.561 9.5 89.4082 88.8037
180 b 0 4.18 -21.66 -17.639 -10.261 30.0508 27.9337 b 0 4.18 -35.34 -39.261 -22.839 57.7012 52.8237
181 b 0 4.18 -0.785 -38.13 -4.25 38.6011 38.1381 b 0 4.18 -77.715 -8.37 -20.75 80.9797 78.1644
182 Z 1 91.2 32.571 -10.32 9.214 97.8249 34.1668 Z 1 91.2 19.129 -41.28 44.986 111.405 45.4968
183 b 0 4.18 45.6 0.672 -14.872 48.1504 45.6049 b 0 4.18 45.6 1.728 -52.728 69.8574 45.6327
184 b 0 4.18 23.31 -12.198 -9.144 28.1644 26.3087 b 0 4.18 13.69 -52.002 -41.656 68.1492 53.7738
185 b 0 4.18 47.255 -18.348 0.694 50.8688 50.6921 b 0 4.18 25.445 -37.252 34.006 56.6484 45.1127
186 tau+ 0 1.77 -1.654 2.212 -57.96 58.0528 2.762 tau- 0 1.77 -81.046 5.688 -24.84 84.9763 81.2454
187 b 0 4.18 66.776 -2.296 2.644 66.9983 66.8155 b 0 4.18 31.424 -5.904 63.456 71.1791 31.9738
188 W+ 1 80.4 -9.405 61.494 -2.107 101.679 62.2091 W- 1 80.4 -40.095 21.606 -27.993 96.5515 45.5459
189 tau+ 0 1.77 28.157 -16.2 0.198 32.5335 32.4847 tau- 0 1.77 47.943 -19.8 0.902 51.9087 51.8707
190 b 0 4.18 2.873 6.45 6.201 10.285 7.06092 b 0 4.18 14.027 15.05 5.499 21.7019 20.5733
191 W+ 1 80.4 -8.415 -13.286 23.484 85.2232 15.7267 W- 1 80.4 -41.085 -37.814 17.716 99.4781 55.8379
192 b 0 4.18 64.98 -18.04 -3.664 67.6664 67.4377 b 0 4.18 20.52 -72.16 -87.936 115.665 75.0209
193 tau+ 0 1.77 8.145 -13.608 -3.256 16.2866 15.8593 tau- 0 1.77 46.155 -3.192 -78.144 90.83 46.2652
194 b 0 4.18 -37.017 -4.365 10.43 38.9303 37.2735 b 0 4.18 -8.683 -82.935 64.07 105.243 83.3883
195 W+ 1 80.4 -29.891 26.129 -0 89.668 39.7013 W- 1 80.4 -12.209 63.971 -55.1 117.224 65.1256
196 W+ 1 80.4 -35.902 7.15 9.712 88.8738 36.6071 W- 1 80.4 -25.998 20.35 50.988 100.767 33.0154
197 b 0 4.18 10.263 -30.256 -4.13 32.4851 31.9493 b 0 4.18 20.837 -18.544 -78.47 83.3851 27.8937
198 b 0 4.18 14.269 -10.875 45.21 48.8189 17.9407 b 0 4.18 60.831 -61.625 23.29 89.7661 86.5913
199 b 0 4.18 2.924 0.061 -25.451 25.9573 2.92464 b 0 4.18 1.376 6.039 -56.649 57.1397 6.19378
200 b 0 4.18 -45.966 22.386 -2.244 51.347 51.1274 b 0 4.18 -51.834 32.214 -16.456 63.3465 61.0287
201 b 0 4.18 68.62 -17.498 0.211 70.9394 70.8158 b 0 4.18 25.38 -49.802 20.889 59.8181 55.8962
202 b 0 4.18 32.175 7.056 -15.486 36.6375 32.9396 b 0 4.18 65.325 71.344 -11.214 97.4708 96.7333
203 b 0 4.18 0.148 1.27 17.784 18.3133 1.27859 b 0 4.18 0.052 62.23 56.316 84.033 62.23
204 tau+ 0 1.77 5.278 -4.608 20.16 21.4161 7.00649 tau- 0 1.77 3.822 -33.792 47.04 58.0724 34.0075
205 b 0 4.18 -5.719 -24.332 -7.215 26.3492 24.9951 b 0 4.18 -75.981 -62.568 -3.885 98.5922 98.427
206 W+ 1 80.4 -41.58 0.598 0 90.5175 41.5843 W- 1 80.4 -0.419998 59.202 16.2 101.152 59.2035
207 b 0 4.18 -74.175 3.311 -15.804 76.0272 74.2489 b 0 4.18 -24.725 43.989 -71.996 88.0185 50.4614
208 b 0 4.18 -29.784 5.248 10.272 32.212 30.2428 b 0 4.18 -14.016 27.552 53.928 62.2998 30.9121
